ticker,symbolFA,nameFA,industryIndex,market
IRO1PAKS0001,شپاکسا,پاکسان‌,IREXCLEANINGPRODUCT,11
IRO1PKER0001,کرماشا,صنایع پتروشیمی کرمانشاه,IREXAGRICULTURALCHEMICALS,11
IRO1ABAD0001,ثاباد,توریستی ورفاهی آبادگران ایران,IREXCONSTRUCTION,15
IRO1ABDI0001,دعبید,لابراتوارداروسازی‌ دکترعبیدی‌,IREXPHARMACEUTICALS,15
IRO1ABIK0001,سابیک,سیمان آبیک,IREXOTHERNONMETALLICPRODUCTS,15
IRO1ALBZ0001,والبر,سرمایه‌ گذاری‌ البرز(هلدینگ‌,IREXINVESTMENTS,11
IRO1ALIR0001,فایرا,آلومینیوم‌ایران‌,IREXMETALSEXIRON,15
IRO1ALMR0001,فمراد,آلومراد,IREXMETALSEXIRON,15
IRO1ALVN0001,کلوند,کاشی‌ الوند,IREXTILE,15
IRO1AMIN0001,دامین,داروسازی‌ امین‌,IREXPHARMACEUTICALS,13
IRO1AMLH0001,شاملا,معدنی‌ املاح‌ ایران‌,IREXCHEMICALSDIVERSIFIED,15
IRO1ARDK0001,کسرا,سرامیک‌های‌صنعتی‌اردکان‌,IREXOTHERNONMETALLICPRODUCTS,13
IRO1ASAL0001,لابسا,آبسال‌,IREXMACHINERY,15
IRO1ASIA0001,آسیا,بیمه آسیا,IREXINSURANCEDIVERSIFIED,13
IRO1ATDM0001,واتی,سرمایه‌ گذاری‌ آتیه‌ دماوند,IREXINVESTMENTS,13
IRO1ATIR0001,خاهن,آهنگری‌ تراکتورسازی‌ ایران‌,IREXAUTOPARTS,13
IRO1AYEG0001,پردیس,سرمایه گذاری پردیس,IREXINVESTMENTS,11
IRO1AZAB0001,فاذر,صنایع‌ آذرآب‌,IREXMETALLICPRODUCTS,15
IRO1AZIN0001,خاذین,سایپاآذین‌,IREXAUTOPARTS,15
IRO1BAFG0001,کبافق,معادن‌ بافق‌,IREXMETALLICORES,15
IRO1BAHN0001,فباهنر,مس‌ شهیدباهنر,IREXMETALSEXIRON,11
IRO1BALB0001,البرز,بیمه البرز,IREXINSURANCEDIVERSIFIED,11
IRO1BALI0001,وبوعلی,سرمایه‌گذاری‌بوعلی‌,IREXINVESTMENTS,13
IRO1BAMA0001,کاما,باما,IREXMETALLICORES,11
